CLASS,CLASS_CODE,COMM_CODE,NAME,SECTOR,SRG,COMM_STRUCTURE,longitude,latitude,POINT
Residential,1,BED,BEDDINGTON HEIGHTS,NORTH,ESTABLISHED,1960s/1970s,-114.08502139544244,51.13163280873361,POINT (-114.08502139544244 51.13163280873361)
Residential,1,EVN,EVANSTON,NORTH,COMPLETE,2010s,-114.1124526074949,51.17109493109596,POINT (-114.1124526074949 51.17109493109596)
Residential,1,KIL,KILLARNEY/GLENGARRY,CENTRE,ESTABLISHED,1950s,-114.13172726984385,51.031548429038665,POINT (-114.13172726984385 51.031548429038665)
Residential,1,BRA,BRAESIDE,SOUTH,ESTABLISHED,1960s/1970s,-114.10636591786145,50.955992888964275,POINT (-114.10636591786145 50.955992888964275)
Residential,1,BLM,BELMONT,SOUTH,DEVELOPING,BUILDING OUT,-114.055251748252,50.86868365691495,POINT (-114.055251748252 50.86868365691495)
Industrial,2,FHI,FOOTHILLS,EAST,N/A,EMPLOYMENT,-113.98203894580547,50.99396296392855,POINT (-113.98203894580547 50.99396296392855)
Residential,1,RIC,RICHMOND,CENTRE,ESTABLISHED,1950s,-114.11842227424928,51.029710309282336,POINT (-114.11842227424928 51.029710309282336)
Residential,1,CHN,CHINATOWN,CENTRE,ESTABLISHED,CENTRE CITY,-114.06266113774751,51.05088652177789,POINT (-114.06266113774751 51.05088652177789)
Residential,1,CPF,COPPERFIELD,SOUTHEAST,DEVELOPING,BUILDING OUT,-113.9294734885478,50.91781396932941,POINT (-113.9294734885478 50.91781396932941)
Industrial,2,EFV,EAST FAIRVIEW INDUSTRIAL,SOUTH,N/A,EMPLOYMENT,-114.03724138911893,50.98481520244282,POINT (-114.03724138911893 50.98481520244282)
Residual Sub Area,4,13H,13H,SOUTH,N/A,UNDEVELOPED,-114.11280180390975,50.892247441011556,POINT (-114.11280180390975 50.892247441011556)
Industrial,2,PEG,PEGASUS,NORTHEAST,N/A,EMPLOYMENT,-114.00648887491036,51.09447880064419,POINT (-114.00648887491036 51.09447880064419)
Residential,1,ROY,ROYAL OAK,NORTHWEST,COMPLETE,2010s,-114.21974369947044,51.14266982292679,POINT (-114.21974369947044 51.14266982292679)
Residential,1,CUR,CURRIE BARRACKS,WEST,ESTABLISHED,BUILDING OUT,-114.12482488367951,51.01571635224105,POINT (-114.12482488367951 51.01571635224105)
Residential,1,HKS,HOTCHKISS,SOUTHEAST,DEVELOPING,BUILDING OUT,-113.89625471613965,50.91419566626194,POINT (-113.89625471613965 50.91419566626194)
Residential,1,ASP,ASPEN WOODS,WEST,DEVELOPING,BUILDING OUT,-114.20839875078353,51.0452183962725,POINT (-114.20839875078353 51.0452183962725)
Residual Sub Area,4,13N,13N,SOUTH,N/A,OTHER,-114.14376811922182,50.944846169710374,POINT (-114.14376811922182 50.944846169710374)
Residential,1,HAY,HAYSBORO,SOUTH,ESTABLISHED,1950s,-114.08334029387022,50.97221737338749,POINT (-114.08334029387022 50.97221737338749)
Residential,1,CHR,CHRISTIE PARK,WEST,ESTABLISHED,1980s/1990s,-114.1760166558148,51.04080737064758,POINT (-114.1760166558148 51.04080737064758)
Residential,1,ALT,ALTADORE,CENTRE,ESTABLISHED,INNER CITY,-114.10186306391894,51.01595586128207,POINT (-114.10186306391894 51.01595586128207)
Residential,1,UMR,UPPER MOUNT ROYAL,CENTRE,ESTABLISHED,INNER CITY,-114.08501851547312,51.02997956392808,POINT (-114.08501851547312 51.02997956392808)
Residential,1,RED,RED CARPET,EAST,ESTABLISHED,1960s/1970s,-113.94270243175565,51.0401991290999,POINT (-113.94270243175565 51.0401991290999)
Industrial,2,GPE,GREAT PLAINS EAST,EAST,N/A,EMPLOYMENT,-113.91666390599228,50.98688718866689,POINT (-113.91666390599228 50.98688718866689)
Residential,1,RIV,RIVERBEND,SOUTHEAST,ESTABLISHED,1980s/1990s,-114.01843171999816,50.976019118415515,POINT (-114.01843171999816 50.976019118415515)
Residential,1,BLN,BELTLINE,CENTRE,ESTABLISHED,CENTRE CITY,-114.05518339350573,51.03744998756968,POINT (-114.05518339350573 51.03744998756968)
Residential,1,MAH,MAHOGANY,SOUTHEAST,DEVELOPING,2000s,-113.92463605937054,50.89594829366296,POINT (-113.92463605937054 50.89594829366296)
Residential,1,DOV,DOVER,EAST,ESTABLISHED,1960s/1970s,-113.99305430085475,51.02257009323126,POINT (-113.99305430085475 51.02257009323126)
Industrial,2,ST2,STONEY 2,NORTHEAST,N/A,EMPLOYMENT,-114.0172184485419,51.14338676461851,POINT (-114.0172184485419 51.14338676461851)
Residential,1,MOP,MOUNT PLEASANT,CENTRE,ESTABLISHED,INNER CITY,-114.07672021451413,51.0742390077112,POINT (-114.07672021451413 51.0742390077112)
Residual Sub Area,4,06C,06C,WEST,FUTURE,UNDEVELOPED,-114.2274594187155,51.08398080276579,POINT (-114.2274594187155 51.08398080276579)
Residential,1,EAU,EAU CLAIRE,CENTRE,ESTABLISHED,CENTRE CITY,-114.07282468753478,51.05360801760475,POINT (-114.07282468753478 51.05360801760475)
Residential,1,MDH,MEDICINE HILL,WEST,DEVELOPING,2000s,-114.20014579670571,51.079184878540524,POINT (-114.20014579670571 51.079184878540524)
Residual Sub Area,4,13M,13M,SOUTH,FUTURE,UNDEVELOPED,-114.04275942808192,50.85623929104289,POINT (-114.04275942808192 50.85623929104289)
Residential,1,WOO,WOODLANDS,SOUTH,ESTABLISHED,1980s/1990s,-114.10615848150708,50.94299606868775,POINT (-114.10615848150708 50.94299606868775)
Residential,1,EYA,ELBOYA,CENTRE,ESTABLISHED,1950s,-114.07360640519336,51.01299224214484,POINT (-114.07360640519336 51.01299224214484)
Residential,1,ERL,ERLTON,CENTRE,ESTABLISHED,INNER CITY,-114.06314153912982,51.02633440020522,POINT (-114.06314153912982 51.02633440020522)
Residential,1,FLN,FOREST LAWN,EAST,ESTABLISHED,1950s,-113.97000191574016,51.03784866109272,POINT (-113.97000191574016 51.03784866109272)
Industrial,2,SAW,SOUTH AIRWAYS,NORTHEAST,N/A,EMPLOYMENT,-114.01785841093204,51.07823366724948,POINT (-114.01785841093204 51.07823366724948)
Industrial,2,AYB,ALYTH/BONNYBROOK,CENTRE,N/A,EMPLOYMENT,-114.03049036983082,51.02736304951322,POINT (-114.03049036983082 51.02736304951322)
