,Program Name,Type of Program,Program City,Postal Code,Capacity,Inspection Date,Inspection Reason,Non Compliance,Enforcement Action,Remedy Date,Program_Address,latitude,longitude
0,DISCOVERY TOTS DAYHOME LTD,FAMILY DAY HOME,CALGARY,T3H5T8,60,,,,,,402 DISCOVERY RIDGE BOULEVARD SW,51.01852,-114.22548
1,R&S QUALITY DAYHOME AGENCY,FAMILY DAY HOME,CALGARY,T1Y5P3,30,,,,,,3715 67 STREET NE,51.08617,-113.9373
2,THE MANGROVE TREE DAYHOME AGENCY,FAMILY DAY HOME,CALGARY,T2S2P5,30,,,,,,4013 STANLEY ROAD SW,51.01853,-114.0654
3,VIP KIDS CORP,FAMILY DAY HOME,CALGARY,T2X1P1,6,,,,,,340 MIDPARK WAY SE,50.90799,-114.06235
4,DAVAR CHILD CARE SOCIETY,FAMILY DAY HOME,CALGARY,T2E8V1,1026,,,,,,817 19 STREET NE,51.0588,-114.01341
5,BRIGHTPATH RUNDLE,FAMILY DAY HOME,CALGARY,T3H5T8,72,,,,,,402 DISCOVERY RIDGE BOULEVARD SW,51.01852,-114.22548
6,SONSHINE CHILDREN'S CENTRE,FAMILY DAY HOME,CALGARY,T3G0B4,12,,,,,,600 CROWFOOT CRESCENT NW,51.12918,-114.20332
7,SONSHINE CHILDREN'S CENTRE,FAMILY DAY HOME,CALGARY,T3H0H4,12,,,,,,109 ASPEN STONE PLACE SW,51.04557,-114.21176
8,BRIGHTPATH RUNDLE,FAMILY DAY HOME,CALGARY,T2S2P5,72,,,,,,4013 STANLEY ROAD SW,51.01853,-114.0654
9,SONSHINE CHILDREN'S CENTRE,FAMILY DAY HOME,CALGARY,T2X1P1,18,,,,,,340 MIDPARK WAY SE,50.90799,-114.06235
10,THE MANGROVE TREE PRESCHOOL,FACILITY-BASED PROGRAM,CALGARY,T2S2P5,32,2022/07/07,INSPECTION,,,,4013 STANLEY ROAD SW,51.01853,-114.0654
11,THE MANGROVE TREE PRESCHOOL,FACILITY-BASED PROGRAM,CALGARY,T2S2P5,32,2023/01/10,INSPECTION,23(1)(b)(i) - Administration records - Daily attendance of primary staff member includes arrival and departure,NOTICE OF NON-COMPLIANCE,2023/01/10,4013 STANLEY ROAD SW,51.01853,-114.0654
12,THE MANGROVE TREE PRESCHOOL,FACILITY-BASED PROGRAM,CALGARY,T2S2P5,32,2023/04/18,RENEWAL LICENCE INSPECTION,24(b) - Portable record - Telephone numbers of local emergency response and poison control,NOTICE OF NON-COMPLIANCE,2023/04/18,4013 STANLEY ROAD SW,51.01853,-114.0654
13,THE MANGROVE TREE PRESCHOOL,FACILITY-BASED PROGRAM,CALGARY,T2S2P5,32,2023/08/18,INSPECTION,,,,4013 STANLEY ROAD SW,51.01853,-114.0654
14,THE HEARTLAND AGENCY,FACILITY-BASED PROGRAM,CALGARY,T3H2Y3,96,2023/01/25,INSPECTION,,,,1919 SIROCCO DRIVE SW,51.03573,-114.16724
15,THE HEARTLAND AGENCY,FACILITY-BASED PROGRAM,CALGARY,T3H2Y3,96,2023/07/19,INSPECTION,10(1)(b)(ii) - Medication - Administered according to labelled directions,NOTICE OF NON-COMPLIANCE,2023/07/19,1919 SIROCCO DRIVE SW,51.03573,-114.16724
16,DISCOVERY KIDS OUT OF SCHOOL CARE LTD.,FACILITY-BASED PROGRAM,CALGARY,T2E4P3,30,2023/06/05,INITIAL LICENCE INSPECTION,,,,414 11A STREET NE,51.05529,-114.03485
17,DISCOVERY KIDS OUT OF SCHOOL CARE LTD.,FACILITY-BASED PROGRAM,CALGARY,T2E4P3,30,2023/09/06,INITIAL LICENCE INSPECTION,,,,414 11A STREET NE,51.05529,-114.03485
18,DISCOVERY KIDS OUT OF SCHOOL CARE LTD.,FACILITY-BASED PROGRAM,CALGARY,T2E4P3,30,2023/12/18,INSPECTION,,,,414 11A STREET NE,51.05529,-114.03485
19,LITTLE ROOTS LEARNING CENTRE,FACILITY-BASED PROGRAM,CALGARY,T3B5T2,37,2022/11/16,INSPECTION,,,,10623 WEST VALLEY ROAD SW,51.08726,-114.24023
20,LITTLE ROOTS LEARNING CENTRE,FACILITY-BASED PROGRAM,CALGARY,T3B5T2,37,2023/06/01,INSPECTION,,,,10623 WEST VALLEY ROAD SW,51.08726,-114.24023
21,SUMMIT KIDS - OLA,FACILITY-BASED PROGRAM,CALGARY,T3B1N5,45,2023/07/24,INITIAL LICENCE INSPECTION,,,,7311 34 AVENUE NW,51.08368,-114.192
