,Program Name,Program Type,Avg Days Between Inspections
0,DISCOVERY TOTS DAYHOME LTD,FAMILY DAY HOME,61.5
1,R&S QUALITY DAYHOME AGENCY,FAMILY DAY HOME,4.7272727272727275
2,THE MANGROVE TREE DAYHOME AGENCY,FAMILY DAY HOME,7.2727272727272725
3,VIP KIDS CORP,FAMILY DAY HOME,7.384615384615385
4,DAVAR CHILD CARE SOCIETY,FAMILY DAY HOME,92.72222222222223
5,BRIGHTPATH RUNDLE,FAMILY DAY HOME,1.846674182638106
6,SONSHINE CHILDREN'S CENTRE,FAMILY DAY HOME,1.3832020997375327
7,SONSHINE CHILDREN'S CENTRE,FAMILY DAY HOME,1.3832020997375327
8,BRIGHTPATH RUNDLE,FAMILY DAY HOME,1.846674182638106
9,SONSHINE CHILDREN'S CENTRE,FAMILY DAY HOME,1.3832020997375327
10,THE MANGROVE TREE PRESCHOOL,FACILITY-BASED PROGRAM,74.04761904761905
11,THE MANGROVE TREE PRESCHOOL,FACILITY-BASED PROGRAM,74.04761904761905
12,THE MANGROVE TREE PRESCHOOL,FACILITY-BASED PROGRAM,74.04761904761905
13,THE MANGROVE TREE PRESCHOOL,FACILITY-BASED PROGRAM,74.04761904761905
14,THE HEARTLAND AGENCY,FACILITY-BASED PROGRAM,37.08888888888889
15,THE HEARTLAND AGENCY,FACILITY-BASED PROGRAM,37.08888888888889
16,DISCOVERY KIDS OUT OF SCHOOL CARE LTD.,FACILITY-BASED PROGRAM,98.0
17,DISCOVERY KIDS OUT OF SCHOOL CARE LTD.,FACILITY-BASED PROGRAM,98.0
18,DISCOVERY KIDS OUT OF SCHOOL CARE LTD.,FACILITY-BASED PROGRAM,98.0
19,LITTLE ROOTS LEARNING CENTRE,FACILITY-BASED PROGRAM,69.04761904761905
20,LITTLE ROOTS LEARNING CENTRE,FACILITY-BASED PROGRAM,69.04761904761905
21,SUMMIT KIDS - OLA,FACILITY-BASED PROGRAM,
22,CALGARY IMMIGRANT WOMEN'S ASSOCIATION LINC CHILDMINDING PROGRAM,INNOVATIVE CHILD CARE PROGRAM,135.44
23,CALGARY IMMIGRANT WOMEN'S ASSOCIATION LINC CHILDMINDING PROGRAM,INNOVATIVE CHILD CARE PROGRAM,135.44
24,AKIVA  ACADEMY,FACILITY-BASED PROGRAM,71.84444444444445
25,AKIVA  ACADEMY,FACILITY-BASED PROGRAM,71.84444444444445
26,AKIVA  ACADEMY,FACILITY-BASED PROGRAM,71.84444444444445
27,SUMMIT KIDS - DOYLE,FACILITY-BASED PROGRAM,95.27777777777777
28,SUMMIT KIDS - DOYLE,FACILITY-BASED PROGRAM,95.27777777777777
29,SUMMIT KIDS - DOYLE,FACILITY-BASED PROGRAM,95.27777777777777
30,SUMMIT KIDS - DOYLE,FACILITY-BASED PROGRAM,95.27777777777777
31,SUMMIT KIDS - DOYLE,FACILITY-BASED PROGRAM,95.27777777777777
32,SUMMIT KIDS - ST CECILIA,FACILITY-BASED PROGRAM,113.92592592592592
33,AFFECTIO FAMILY DAY HOMES AGENCY,FAMILY DAY HOME,61.0
34,ART AND SOUL MONTESSORI CHILDCARE INC.,FAMILY DAY HOME,
35,DAVAR CHILD CARE SOCIETY,FAMILY DAY HOME,92.72222222222223
36,DISCOVERY TOTS DAYHOME LTD,FAMILY DAY HOME,61.5
37,LITTLE STEPS ACADEMY INC.,FAMILY DAY HOME,1.3333333333333333
38,LIVING WATER EDUCATION LTD.,FAMILY DAY HOME,
39,CHILDREN'S CHOICE COMMUNITY CHILD CARE SERVICES,DAY CARE PROGRAM,48.37735849056604
40,CREATIVE KIDS ACADEMY,DAY CARE PROGRAM,79.34482758620689
41,ROSEMONT CHILD DEVELOPMENT CENTRE,OUT OF SCHOOL CARE PROGRAM,67.86
42,THE IMMIGRANT EDUCATION SOCIETY NE,OUT OF SCHOOL CARE PROGRAM,287.0
43,THE IMMIGRANT EDUCATION SOCIETY SE,PRE-SCHOOL PROGRAM,336.3333333333333
44,1ST CLASS AFTER CLASS - CLUBHOUSE,OUT OF SCHOOL CARE PROGRAM,85.11111111111111
